 458764587620171128          1        +0000000000+0000000000+0000017868+0003652561+0002123976+0005794405+0000000000+0000000000
 458764587620171128FC-002339221711274LPF20171127+0000017868LATE PAYMENT FEE        00                     NEW SEASONS MARKET, LLC-GRANT PK CGC MISC
 45876458762017112801313693  21711173INV20171130+0000042882BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC ICPO
 458764587620171128NB0073625721711213INV20171130+000000151001311121 - DELIVERY FEE 312020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC ICPO
 45876458762017112801313916  21711213INV20171130+0000095982BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC ICPO
 458764587620171128NB0072818521711163INV20171130+0000005200CM - PNW-Retail Pricing 002216Pricing 0   22160NEW SEASONS MARKET, LLC-GRANT PK CGC MISC
 45876458762017112801251168  21711173INV20171130+0000016103MEAT INVOICE            252030        0   20300NEW SEASONS MARKET, LLC-GRANT PK CGC MTPO
 4587645876201711282441459   21711183INV20171130+0000011676B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-GRANT PK CGC PRPO
 4587645876201711282441460   21711183INV20171130+0000007425B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-GRANT PK CGC PRPO
 4587645876201711282443208   21711213INV20171130+0000018525B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-GRANT PK CGC PRPO
 4587645876201711282443209   21711213INV20171130+0000016075B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-GRANT PK CGC PRPO
 45876458762017112801251167  21711173INV20171130+0000024198BILLING - SERV DELI     252032ELI     1   20321NEW SEASONS MARKET, LLC-GRANT PK CGC SDPO
 45876458762017112801252401  21711213INV20171130+0000004087SERV-BAK FRZN FD SVC    252032 SVC    7   20327NEW SEASONS MARKET, LLC-GRANT PK CGC SDPO
 458764587620171128NB0073177921711173INV20171130+00000060000583802 - INTERACTIVE OR002374CTIVE OR0   23740NEW SEASONS MARKET, LLC-GRANT PK CGC SERV
 45876458762017112801224190  21711173INV20171130+0000013786MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801225197  21711213INV20171130+0000015969BILLING - DELI M        294009        0   40090NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801225199  21711213INV20171130+0000034008MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801225200  21711213INV20171130+0000010770MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801216474  21711173INV20171130+0000019444MC PORTLAND SALE FROZEN 294000 FROZEN 0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC FFPO
 45876458762017112801216956  21711213INV20171130+0000030690MC PORTLAND SALE FROZEN 294000 FROZEN 0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC FFPO
 45876458762017112802036609  21711163INV20171130+0000000558SALES MC NOCA FLOWTHRU  036030OWTHRU  0   60300NEW SEASONS MARKET, LLC-GRANT PK GSC GRNO
 45876458762017112802036734  21711163INV20171130+0000012605BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRNO
 45876458762017112802030344  21711203INV20171130+0000004597BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRNO
 45876458762017112801291194  21711173INV20171130+0000035236BILLING - MC CANDY      294001DY      0   40010NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112801291195  21711173INV20171130+0000012763BILLING - MC HISPANIC   294003PANIC   0   40030NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112801291196  21711173INV20171130+0000164714BILLING - MC SPECIALTY  294006CIALTY  0   40060NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 458764587620171128NB0073625621711213INV20171130+000000019301291121 - DELIVERY FEE 292020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112801291805  21711213INV20171130+0000004709BILLING - MC CANDY      294001DY      0   40010NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112801291806  21711213INV20171130+0000012763BILLING - MC HISPANIC   294003PANIC   0   40030NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112801291807  21711213INV20171130+0000196788BILLING - MC SPECIALTY  294006CIALTY  0   40060NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112802293561  21711203INV20171130+0000001375BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRWA
 45876458762017112802293562  21711203INV20171130+0000010519BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRWA
 45876458762017112802293563  21711203INV20171130+0000000442BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRWA
 45876458762017112802293564  21711203INV20171130+0000038647BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRWA
 458764587620171128NB0074402621711272INV20171207+0000005000851117 - PALLETS - PLAST002525 - PLAST0   25250NEW SEASONS MARKET, LLC-GRANT PK CGC CONT
 458764587620171128NB0074402221711272INV20171207+0000003250951117 - PALLETS - REGUL002489 - REGUL0   24890NEW SEASONS MARKET, LLC-GRANT PK CGC COPO
 45876458762017112801270959  21711232INV20171207+0000036006BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DAPO
 45876458762017112801270960  21711232INV20171207+0000014949BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DAPO
 45876458762017112801271452  21711282INV20171207+0000012032BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DAPO
 45876458762017112801271453  21711282INV20171207+0000011862BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DAPO
 45876458762017112801225982  21711232INV20171207+0000081131BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801225983  21711232INV20171207+0000143332BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801225984  21711232INV20171207+0000017810BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 458764587620171128NB0074441921711282INV20171207+000001362901221128 - DELIVERY FEE 222020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801226912  21711282INV20171207+0000025374BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801226913  21711282INV20171207+0000045014BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801226914  21711282INV20171207+0000027075BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112802226076  21711232INV20171207+0000041883MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-GRANT PK CGC DLWA
 45876458762017112802227738  21711282INV20171207+0000019436MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-GRANT PK CGC DLWA
 45876458762017112802227739  21711282INV20171207+0000019412MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-GRANT PK CGC DLWA
 458764587620171128NB0074441821711282INV20171207+000000049401211128 - DELIVERY FEE 212020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC FFPO
 45876458762017112801217700  21711282INV20171207+0000043544BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC FFPO
 458764587620171128NB0074441721711282INV20171207+000001257401201128 - DELIVERY FEE 202020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801205149  21711282INV20171207+0000683422BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801205150  21711282INV20171207+0000008381BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801205151  21711282INV20171207+0000012253BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801205152  21711282INV20171207+0000060887BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 458764587620171128NB0074442021711282INV20171207+000000028801231128 - DELIVERY FEE 232020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC HBPO
 45876458762017112801239970  21711282INV20171207+0000190529BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC HBPO
 458764587620171128NB0074442121711282INV20171207+000000037001241128 - DELIVERY FEE 242020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC HDPO
 45876458762017112801241927  21711282INV20171207+0000040440BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC HDPO
 45876458762017112801241928  21711282INV20171207+0000016848BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC HDPO
 458764587620171128NB0074442321711282INV20171207+000000049401311128 - DELIVERY FEE 312020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC ICPO
 45876458762017112801314282  21711282INV20171207+0000056955BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC ICPO
 458764587620171128NB0073686521711222INV20171207+0000005200CM - PNW-Retail Pricing 002216Pricing 0   22160NEW SEASONS MARKET, LLC-GRANT PK CGC MISC
 45876458762017112801254406  21711282INV20171207+0000022837MEAT FROZ               252030        0   20300NEW SEASONS MARKET, LLC-GRANT PK CGC MTPO
 45876458762017112801254409  21711282INV20171207+0000003646MEAT INVOICE            252030        0   20300NEW SEASONS MARKET, LLC-GRANT PK CGC MTPO
 4587645876201711282445226   21711252INV20171207+0000018005B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-GRANT PK CGC PRPO
 4587645876201711282446824   21711282INV20171207+0000004521B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-GRANT PK CGC PRPO
 45876458762017112801254405  21711282INV20171207+0000013670FROZEN FOOD SERVICE     252032ICE     0   20320NEW SEASONS MARKET, LLC-GRANT PK CGC SDPO
 458764587620171128NB0074059021711242INV20171207+00000060000587089 - INTERACTIVE OR002374CTIVE OR0   23740NEW SEASONS MARKET, LLC-GRANT PK CGC SERV
 45876458762017112801225985  21711232INV20171207+0000007985BILLING - DELI M        294009        0   40090NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801225986  21711232INV20171207+0000041597MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801225987  21711232INV20171207+0000017194MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801226915  21711282INV20171207+0000007985BILLING - DELI M        294009        0   40090NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801226916  21711282INV20171207+0000023691MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801226917  21711282INV20171207+0000003441MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC DLPO
 45876458762017112801217701  21711282INV20171207+0000008878MC PORTLAND SALE FROZEN 294000 FROZEN 0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC FFPO
 45876458762017112802032318  21711222INV20171207+0000044611BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRNO
 458764587620171128NB0074442221711282INV20171207+000000008201291128 - DELIVERY FEE 292020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112801292664  21711282INV20171207+0000035968BILLING - MC CANDY      294001DY      0   40010NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112801292665  21711282INV20171207+0000001718BILLING - MC HISPANIC   294003PANIC   0   40030NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112801292666  21711282INV20171207+0000201292BILLING - MC SPECIALTY  294006CIALTY  0   40060NEW SEASONS MARKET, LLC-GRANT PK GSC GRPO
 45876458762017112802296184  21711272INV20171207+0000000803BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRWA
 45876458762017112802296185  21711272INV20171207+0000002980BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRWA
 45876458762017112802296186  21711272INV20171207+0000007198BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC-GRANT PK GSC GRWA
 458764587620171128          3        +0000000000+0000000000+0000017868+0003652561+0002123976+0005794405+0000000000+0000000000
 45876  TRAILER              4                    TOTAL STMT RECS = 0000121                    PROCESS DATE = 20171129
